"","Aglais_urticae","Andrena_spp","Anthaxia_sp","Apis_mellifera","Araschnia_levana","Bombus_lapidarius","Bombus_pascuorum","Bombus_sylvarum","Bombus_terrestris_agg","Chrysogaster_solstitialis","Coccinellidae","Coenonympha_pamphilus","Crambidae","Cryptocephalus_sp","Episyrphus_balteatus","Eristalis_arbustorum","Eristalis_interruptus","Eristalis_intricaria","Eristalis_pertinax","Eristalis_similis","Eristalis_tenax","Helophilus_hybridus","Helophilus_pendulus","Helophilus_trivittatus","Maniola_jurtina","Melanostoma_mellinum","Melitaea","Miridae","Myathropa_florea","Nitidulidae","Phasia_sp","Pieris_brassicae","Pieris_rapae","Pipizella","Platycheirus_sp","Pyrophaena_granditarsis","Scaeva_pyrastri","Sericomyia_silentis","Sphaerophoria_scripta","Syritta_pipiens"
"Lotus_corniculatus",0,0,0,5,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Lysimachia_vulgaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Lythrum_salicaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mentha_arvensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pimpinella_saxifraga",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plantago_lanceolata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Potentilla_anserina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Potentilla_erecta",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,8,6
"Ranunculus_acris",0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0
"Ranunculus_flammula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1
"Sanguisorba_officinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Selinum_carvifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serratula_tinctoria",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Succisa_pratensis",2,0,0,67,1,5,5,1,2,0,0,0,1,0,0,21,78,9,120,4,449,1,66,121,8,0,0,0,3,0,0,1,4,0,0,0,0,7,0,0
"Trifolium_pratense",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium_repens",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
